"Timestamp","Barometer (kPA)","Specific Conductance (uS/cm)","Dissolved Oxygen (mg/L)","pH_1 (Units)","Temperature (C)","Comment","Site","Folder","Unit ID"
"3/7/2015 16:18:31","98.57","601","11.7","7.89","0","","MEDH","0","POSEIDON"
"3/7/2015 16:18:59","98.57","588","10.9","7.81","0.4","","MEDH","1","POSEIDON"
"3/7/2015 16:19:18","98.57","588","10.7","7.78","0.5","","MEDH","2","POSEIDON"
"3/7/2015 16:19:48","98.57","588","10.5","7.75","0.5","","MEDH","3","POSEIDON"
"3/7/2015 16:20:14","98.57","588","10.3","7.76","0.5","","MEDH","4","POSEIDON"
"3/7/2015 16:20:33","98.57","588","10.2","7.75","0.5","","MEDH","5","POSEIDON"
"3/7/2015 16:21:08","98.58","588","10.2","7.74","0.5","","MEDH","6","POSEIDON"
"3/7/2015 16:21:36","98.58","585","9.8","7.71","0.5","","MEDH","7","POSEIDON"
"3/7/2015 16:22:01","98.58","584","9.6","7.67","0.6","","MEDH","8","POSEIDON"
"3/7/2015 16:22:22","98.58","584","9.3","7.64","0.6","","MEDH","9","POSEIDON"
"3/7/2015 16:23:14","98.58","584","8.1","7.56","0.7","","MEDH","10","POSEIDON"
"3/7/2015 16:24:18","98.58","585","7.5","7.48","0.8","","MEDH","11","POSEIDON"
"3/7/2015 16:24:51","98.57","588","7.1","7.48","0.9","","MEDH","12","POSEIDON"
"3/7/2015 16:25:43","98.58","594","5.8","7.32","1","","MEDH","13","POSEIDON"
"3/7/2015 16:26:43","98.58","597","5","7.37","1.1","","MEDH","14","POSEIDON"
"3/7/2015 16:27:31","98.59","602","4.3","7.27","1.2","","MEDH","15","POSEIDON"
"3/7/2015 16:28:14","98.59","611","4.8","7.28","1.3","","MEDH","16","POSEIDON"
"3/7/2015 16:29:10","98.59","614","3.9","7.21","1.5","","MEDH","17","POSEIDON"
"3/7/2015 16:30:22","98.59","623","1.3","7.17","1.6","","MEDH","18","POSEIDON"
"3/7/2015 16:31:05","98.6","628","0.8","7.11","1.7","","MEDH","19","POSEIDON"
"3/7/2015 16:31:41","98.6","638","0.1","7.14","1.9","","MEDH","20","POSEIDON"
"4/11/2015 13:10:48","99.05","564","14.8","8.09","5.3","","MEDH","0","POSEIDON"
"4/11/2015 13:11:07","99.04","565","14.8","8.09","4.9","","MEDH","1","POSEIDON"
"4/11/2015 13:11:29","99.05","565","14.8","8.08","4.7","","MEDH","2","POSEIDON"
"4/11/2015 13:12:14","99.04","566","14.5","8.11","4.2","","MEDH","3","POSEIDON"
"4/11/2015 13:12:39","99.05","566","14.5","7.99","4.1","","MEDH","4","POSEIDON"
"4/11/2015 13:13:08","99.05","566","14.2","7.96","4.1","","MEDH","5","POSEIDON"
"4/11/2015 13:13:31","99.05","566","14.2","8.02","4.1","","MEDH","6","POSEIDON"
"4/11/2015 13:14:00","99.05","566","13.9","8","4.1","","MEDH","7","POSEIDON"
"4/11/2015 13:14:31","99.04","567","13.7","7.97","4.1","","MEDH","8","POSEIDON"
"4/11/2015 13:14:51","99.05","567","13.6","7.97","4.1","","MEDH","9","POSEIDON"
"4/11/2015 13:15:21","99.05","567","13.7","7.93","4.1","","MEDH","10","POSEIDON"
"4/11/2015 13:15:48","99.05","567","13.6","7.93","4","","MEDH","11","POSEIDON"
"4/11/2015 13:16:13","99.05","568","13.6","7.93","4","","MEDH","12","POSEIDON"
"4/11/2015 13:16:38","99.03","568","13.5","8","4","","MEDH","13","POSEIDON"
"4/11/2015 13:17:12","99.04","568","13.5","8.01","4","","MEDH","14","POSEIDON"
"4/11/2015 13:17:50","99.05","568","13.6","7.96","4","","MEDH","15","POSEIDON"
"4/11/2015 13:18:10","99.05","568","13.5","7.94","4","","MEDH","16","POSEIDON"
"4/11/2015 13:18:30","99.04","568","13.4","7.96","4.1","","MEDH","17","POSEIDON"
"4/11/2015 13:18:48","99.04","569","14","7.88","4.1","","MEDH","18","POSEIDON"
"4/11/2015 13:19:12","99.04","569","9.5","8.03","4.1","","MEDH","19","POSEIDON"
"4/11/2015 13:19:42","99.04","570","13.6","8.01","4.2","","MEDH","20","POSEIDON"
"5/19/2015 13:59:00","99.23","529","12.4","8.55","14.5","","MEDH","0","POSEIDON"
"5/19/2015 13:59:10","99.23","529","12.5","8.56","14.5","","MEDH","0","POSEIDON"
"5/19/2015 13:59:38","99.22","529","12.6","8.59","14.5","","MEDH","1","POSEIDON"
"5/19/2015 14:00:04","99.22","530","12.6","8.62","14.5","","MEDH","2","POSEIDON"
"5/19/2015 14:00:37","99.21","530","12.5","8.64","14.4","","MEDH","3","POSEIDON"
"5/19/2015 14:00:57","99.21","530","12.3","8.65","14.3","","MEDH","4","POSEIDON"
"5/19/2015 14:01:21","99.22","530","12.2","8.64","14.3","","MEDH","5","POSEIDON"
"5/19/2015 14:01:40","99.22","530","12.1","8.63","14.3","","MEDH","6","POSEIDON"
"5/19/2015 14:02:00","99.22","530","12","8.64","14.3","","MEDH","7","POSEIDON"
"5/19/2015 14:02:27","99.22","531","11.8","8.6","14.1","","MEDH","8","POSEIDON"
"5/19/2015 14:02:51","99.23","532","11.7","8.58","13.9","","MEDH","9","POSEIDON"
"5/19/2015 14:03:10","99.22","533","11.6","8.56","13.8","","MEDH","10","POSEIDON"
"5/19/2015 14:03:40","99.22","533","11.5","8.61","13.8","","MEDH","11","POSEIDON"
"5/19/2015 14:04:04","99.23","534","11.5","8.62","13.8","","MEDH","12","POSEIDON"
"5/19/2015 14:04:09","99.22","534","11.5","8.61","13.8","","MEDH","12","POSEIDON"
"5/19/2015 14:04:45","99.21","543","10.1","8.3","11.3","","MEDH","13","POSEIDON"
"5/19/2015 14:05:24","99.21","545","9.7","8.15","10.2","","MEDH","14","POSEIDON"
"5/19/2015 14:06:10","99.22","549","9.1","7.98","9.2","","MEDH","15","TEST"
"5/19/2015 14:06:44","99.22","550","8.5","7.97","8.6","","MEDH","16","TEST"
"5/19/2015 14:07:14","99.21","551","8","7.92","8.4","","MEDH","17","POSEIDON"
"5/19/2015 14:07:54","99.21","552","7.9","7.87","8.3","","MEDH","18","POSEIDON"
"5/19/2015 14:09:14","99.22","552","7.7","7.76","8.3","","MEDH","19","POSEIDON"
"5/19/2015 14:11:33","99.2","593","0.5","7.02","8.4","","MEDH","20","POSEIDON"
"6/19/2015 14:25:21","98.73","543","10.54","8.95","23.2","","MEDH","0","POSEIDON"
"6/19/2015 14:26:57","98.73","542","10.69","8.95","22.5","","MEDH","1","POSEIDON"
"6/19/2015 14:29:51","98.72","538","10.64","8.93","22","","MEDH","2","POSEIDON"
"6/19/2015 14:30:45","98.71","541","9.88","8.87","21.7","","MEDH","3","POSEIDON"
